"Wickets Lost",0,1,2,3,4,5,6,7,8,9
50,1,0.934,0.851,0.749,0.627,0.49,0.349,0.22,0.119,0.047
49,0.991,0.926,0.845,0.744,0.625,0.489,0.349,0.22,0.119,0.047
48,0.981,0.917,0.838,0.74,0.622,0.488,0.349,0.22,0.119,0.047
47,0.971,0.909,0.832,0.735,0.619,0.486,0.349,0.22,0.119,0.047
46,0.961,0.9,0.825,0.73,0.616,0.485,0.348,0.22,0.119,0.047
45,0.95,0.891,0.818,0.725,0.613,0.484,0.348,0.22,0.119,0.047
44,0.939,0.882,0.81,0.72,0.61,0.483,0.348,0.22,0.119,0.047
43,0.928,0.873,0.803,0.714,0.607,0.481,0.347,0.22,0.119,0.047
42,0.917,0.863,0.795,0.709,0.603,0.479,0.347,0.22,0.119,0.047
41,0.905,0.853,0.787,0.703,0.599,0.478,0.346,0.22,0.119,0.047
40,0.893,0.842,0.778,0.696,0.595,0.476,0.345,0.22,0.119,0.047
39,0.88,0.831,0.769,0.69,0.591,0.474,0.345,0.22,0.119,0.047
38,0.867,0.82,0.76,0.683,0.587,0.471,0.344,0.219,0.119,0.047
37,0.854,0.809,0.75,0.676,0.582,0.469,0.343,0.219,0.119,0.047
36,0.841,0.797,0.741,0.668,0.577,0.466,0.342,0.219,0.119,0.047
35,0.827,0.785,0.73,0.66,0.572,0.464,0.341,0.219,0.119,0.047
34,0.813,0.772,0.72,0.652,0.566,0.461,0.34,0.219,0.119,0.047
33,0.798,0.759,0.709,0.644,0.56,0.458,0.339,0.219,0.119,0.047
32,0.783,0.746,0.697,0.635,0.554,0.454,0.337,0.219,0.119,0.047
31,0.767,0.732,0.686,0.625,0.548,0.451,0.336,0.219,0.119,0.047
30,0.751,0.718,0.673,0.616,0.541,0.447,0.334,0.218,0.119,0.047
29,0.735,0.703,0.661,0.605,0.534,0.442,0.332,0.218,0.119,0.047
28,0.718,0.688,0.648,0.595,0.526,0.438,0.33,0.218,0.119,0.047
27,0.701,0.672,0.634,0.584,0.518,0.433,0.328,0.217,0.119,0.047
26,0.683,0.656,0.62,0.572,0.509,0.428,0.326,0.217,0.119,0.047
25,0.665,0.639,0.605,0.56,0.5,0.422,0.323,0.216,0.119,0.047
24,0.646,0.622,0.59,0.547,0.49,0.416,0.323,0.216,0.119,0.047
23,0.627,0.604,0.574,0.534,0.48,0.409,0.32,0.215,0.119,0.047
22,0.607,0.586,0.558,0.52,0.47,0.402,0.316,0.214,0.119,0.047
21,0.587,0.567,0.541,0.506,0.458,0.394,0.312,0.213,0.119,0.047
20,0.566,0.548,0.524,0.491,0.446,0.386,0.308,0.212,0.119,0.047
19,0.544,0.528,0.505,0.475,0.434,0.377,0.303,0.211,0.119,0.047
18,0.522,0.507,0.486,0.459,0.42,0.368,0.298,0.209,0.119,0.047
17,0.499,0.485,0.467,0.441,0.406,0.358,0.292,0.207,0.119,0.047
16,0.476,0.463,0.447,0.423,0.391,0.347,0.285,0.205,0.118,0.047
15,0.452,0.441,0.426,0.405,0.376,0.335,0.278,0.202,0.118,0.047
14,0.427,0.417,0.404,0.385,0.359,0.322,0.27,0.199,0.118,0.047
13,0.402,0.393,0.381,0.365,0.342,0.308,0.261,0.195,0.117,0.047
12,0.376,0.368,0.358,0.343,0.323,0.294,0.251,0.19,0.116,0.047
11,0.349,0.342,0.334,0.321,0.304,0.278,0.24,0.185,0.115,0.047
10,0.321,0.316,0.308,0.298,0.283,0.261,0.228,0.179,0.114,0.047
9,0.293,0.289,0.282,0.274,0.261,0.242,0.214,0.171,0.112,0.047
8,0.264,0.26,0.255,0.248,0.238,0.223,0.199,0.162,0.109,0.047
7,0.234,0.231,0.227,0.222,0.214,0.201,0.182,0.152,0.105,0.047
6,0.203,0.201,0.198,0.194,0.188,0.178,0.164,0.139,0.101,0.046
5,0.172,0.017,0.168,0.165,0.161,0.154,0.143,0.125,0.094,0.046
4,0.139,0.138,0.137,0.135,0.132,0.127,0.12,0.107,0.084,0.045
3,0.106,0.105,0.104,0.103,0.102,0.099,0.095,0.087,0.072,0.042
2,0.072,0.071,0.071,0.07,0.07,0.068,0.066,0.062,0.055,0.037
1,0.036,0.036,0.036,0.036,0.036,0.035,0.035,0.034,0.032,0.025
0,0,0,0,0,0,0,0,0,0,0
